class,base_chain,vftable,ctor,n_methods,family,wave,status,owner,confidence,notes
C3DSwingDoor,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b8d48;004b8d58;004b91a8;004b91e4;004b91f8,,3,mechanisms_moving_parts,6,todo,,,
C3DSwitch,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b9324;004b9334;004b9784;004b97c0;004b97d4,,2,mechanisms_moving_parts,6,todo,,,
C3DTank,C3DCar -> C3DVehicle -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b9908;004b9918;004b9d68;004b9da4;004b9db8,,1,enemies_ai,3,todo,,,
C3DTargetCursor,C3DPermanentSprite -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b9f38;004b9f48;004ba398;004ba3ac,,1,effects_triggers_nav_cameras_sound,8,todo,,,
C3DTeleportFX,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004ba48c;004ba49c;004ba8ec;004ba928;004ba93c,,1,effects_triggers_nav_cameras_sound,8,todo,,,
C3DTerrain,C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d4cbc;004d4ccc;004d511c;004d5158;004d516c,,2,world_props_terrain,7,todo,,,
C3DTesla,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004baa68;004baa78;004baec8;004baf04;004baf18,,7,enemies_ai,3,todo,,,
C3DToolChest,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bb04c;004bb05c;004bb4ac;004bb4e8;004bb4fc,,1,world_props_terrain,7,todo,,,placeable:3TOL init:FUN_00445f30
C3DTractorBeam,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bb628;004bb638;004bba88;004bbac4;004bbad8,,1,mechanisms_moving_parts,6,todo,,,
C3DTransRepl,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bbc0c;004bbc1c;004bc06c;004bc0a8;004bc0bc,,1,creatures_one_off_set_dressing,9,todo,,,
C3DTrashCan,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bc1e8;004bc1f8;004bc648;004bc684;004bc698,,1,world_props_terrain,7,todo,,,
C3DTree,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004bc7c4;004bc7d4;004bcc24;004bcc38,,1,world_props_terrain,7,todo,,,placeable:3TRE init:FUN_00446c50
C3DTrigger,C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004bcd18;004bcd28;004bd178;004bd18c,,2,base_framework,1,spec,codex,Medium,placeable:3TRI standalone trigger; registers activation cascade fields and raw slots handle touch/activation/sound
C3DTriggerType,C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004bd270;004bd280;004bd6d0;004bd6e4,,2,base_framework,1,spec,codex,Medium,trigger base; registers Toggle/ToggleObject/NextTrigger/FadeType/FadeTime and resolves NextTrigger on activation
C3DUltraLord,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bd7cc;004bd7dc;004bdc2c;004bdc68;004bdc7c,,1,enemies_ai,3,todo,,,placeable:3ULT init:FUN_00448310
C3DVRTrophy,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004be3f4;004be404;004be854;004be890;004be8a4,,3,pickups_items,5,todo,,,placeable:3TRO init:FUN_00448c60
C3DValve,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bde10;004bde20;004be270;004be2ac;004be2c0,,7,mechanisms_moving_parts,6,todo,,,
C3DVehicle,C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d5250;004d5260;004d56b0;004d56ec;004d5700,,15,base_framework,1,spec,codex,Medium,vehicle base with six wheel children input integrator suspension solver and optional viewport
C3DWheel,C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d58ac;004d58bc;004d5d0c;004d5d48;004d5d5c,,2,vehicles,4,todo,,,
C3DYokBigdoor,C3DYokDoor -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004be9d0;004be9e0;004bee30;004bee6c;004bee80,,1,mechanisms_moving_parts,6,todo,,,
C3DYokCargo,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004befac;004befbc;004bf40c;004bf448;004bf45c,,2,mechanisms_moving_parts,6,todo,,,
C3DYokDoor,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bf5e4;004bf5f4;004bfa44;004bfa80;004bfa94,,4,mechanisms_moving_parts,6,todo,,,placeable:3DOR init:FUN_00449cb0
C3DYokHelmet,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004bfbc0;004bfbd0;004c0020;004c005c;004c0070,,2,mechanisms_moving_parts,6,todo,,,
C3DYokTurret,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004c2638;004c2648;004c2a98;004c2ad4;004c2ae8,,1,enemies_ai,3,todo,,,
C3DYokian,C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004c019c;004c01ac;004c05fc;004c0638;004c064c,,4,enemies_ai,3,spec,codex,Medium,Yokian enemy base; shadow/shield helpers; hit reaction; attack effect handle
C3DYokianGuard,C3DYokian -> C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004c07d8;004c07e8;004c0c38;004c0c74;004c0c88,,1,enemies_ai,3,spec,codex,Medium,placeable:3GUA; Yokian guard leaf assets and inherited Yokian AI
C3DYokianShield,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c0e14;004c0e24;004c1274;004c1288,,1,enemies_ai,3,todo,,,
C3DYokianShip,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004c1370;004c1380;004c17d0;004c180c;004c1820,,0,enemies_ai,3,todo,,,
C3DYokianSoldier,C3DYokian -> C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004c19b4;004c19c4;004c1e14;004c1e50;004c1e64,,1,enemies_ai,3,todo,,,
C3DYokianSpy,C3DYokian -> C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004c1ffc;004c200c;004c245c;004c2498;004c24ac,,1,enemies_ai,3,todo,,,
CAweReal,OMediaApplication -> OMediaSupervisor -> OMediaMessagePort -> OMediaListener,004d5e4c;004d5e60,,1,level_game_controllers,10,todo,,,
CEditor,OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort,004d5e7c;004d5e8c;004d5ea0,,12,level_game_controllers,10,todo,,,
CGameObject,OMediaClassStreamer,004d5fec,,80,base_framework,1,spec,codex,Medium,common .gam registration/property-list/lifecycle base
CGameType,OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004d641c;004d642c;004d687c;004d6890,,17,base_framework,1,spec,codex,Medium,GAME base controller lifecycle databases terrain loader and global player update target
CGfx,,004d69ec,,1,base_framework,1,spec,codex,Medium,scalar deleting dtor only; no observed instance fields
CJimmyGame,CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c2c74;004c2c84;004c30d4;004c30e8,,11,level_game_controllers,10,todo,,,
CLevel01AGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c326c;004c327c;004c36cc;004c36e0,,0,level_game_controllers,10,todo,,,
CLevel01BGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c385c;004c386c;004c3cbc;004c3cd0,,0,level_game_controllers,10,todo,,,
CLevel01CGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c3e4c;004c3e5c;004c42ac;004c42c0,,0,level_game_controllers,10,todo,,,
CLevel01DGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c443c;004c444c;004c489c;004c48b0,,0,level_game_controllers,10,todo,,,
CLevel01EGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c4a2c;004c4a3c;004c4e8c;004c4ea0,,0,level_game_controllers,10,todo,,,
CLevel01FGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c501c;004c502c;004c547c;004c5490,,0,level_game_controllers,10,todo,,,
CLevel01Game,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c560c;004c561c;004c5a6c;004c5a80,,0,level_game_controllers,10,todo,,,
CLevel02AGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c5bfc;004c5c0c;004c605c;004c6070,,1,level_game_controllers,10,todo,,,
CLevel02BGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c61ec;004c61fc;004c664c;004c6660,,0,level_game_controllers,10,todo,,,
CLevel02Game,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c67dc;004c67ec;004c6c3c;004c6c50,,0,level_game_controllers,10,todo,,,
CLevel03AGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c6dcc;004c6ddc;004c722c;004c7240,,0,level_game_controllers,10,todo,,,
CLevel03BGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c73bc;004c73cc;004c781c;004c7830,,0,level_game_controllers,10,todo,,,
CLevel03CGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c79ac;004c79bc;004c7e0c;004c7e20,,0,level_game_controllers,10,todo,,,
CLevel03DGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c7f9c;004c7fac;004c83fc;004c8410,,0,level_game_controllers,10,todo,,,
CLevel03EGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c858c;004c859c;004c89ec;004c8a00,,0,level_game_controllers,10,todo,,,
CLevel03Game,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c8b7c;004c8b8c;004c8fdc;004c8ff0,,0,level_game_controllers,10,todo,,,
CLevel04AGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c916c;004c917c;004c95cc;004c95e0,,0,level_game_controllers,10,todo,,,
CLevel04BGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c975c;004c976c;004c9bbc;004c9bd0,,2,level_game_controllers,10,todo,,,
CLevel04CGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004c9d5c;004c9d6c;004ca1bc;004ca1d0,,0,level_game_controllers,10,todo,,,
CLevel04DGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004ca34c;004ca35c;004ca7ac;004ca7c0,,0,level_game_controllers,10,todo,,,
CLevel04Game,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004ca93c;004ca94c;004cad9c;004cadb0,,0,level_game_controllers,10,todo,,,
CLevel05AGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004caf2c;004caf3c;004cb38c;004cb3a0,,0,level_game_controllers,10,todo,,,
CLevel05BGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cb51c;004cb52c;004cb97c;004cb990,,1,level_game_controllers,10,todo,,,
CLevel05Game,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cbb0c;004cbb1c;004cbf6c;004cbf80,,0,level_game_controllers,10,todo,,,
CLevel06AGame,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cc0fc;004cc10c;004cc55c;004cc570,,0,level_game_controllers,10,todo,,,
CLevel06Game,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cc6ec;004cc6fc;004ccb4c;004ccb60,,0,level_game_controllers,10,todo,,,
CLevel07Game,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cccdc;004cccec;004cd13c;004cd150,,0,level_game_controllers,10,todo,,,
CLevelVR01,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cd2cc;004cd2dc;004cd72c;004cd740,,1,level_game_controllers,10,todo,,,
CLevelVR02,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cd8bc;004cd8cc;004cdd1c;004cdd30,,1,level_game_controllers,10,todo,,,
CLevelVR03,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cdeac;004cdebc;004ce30c;004ce320,,1,level_game_controllers,10,todo,,,
CLevelVR04,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004ce49c;004ce4ac;004ce8fc;004ce910,,1,level_game_controllers,10,todo,,,
CLevelVR05,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cea8c;004cea9c;004ceeec;004cef00,,1,level_game_controllers,10,todo,,,
CLevelVR06,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cf07c;004cf08c;004cf4dc;004cf4f0,,1,level_game_controllers,10,todo,,,
CLevelVR07,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cf66c;004cf67c;004cfacc;004cfae0,,1,level_game_controllers,10,todo,,,
CLevelVR08,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004cfc5c;004cfc6c;004d00bc;004d00d0,,1,level_game_controllers,10,todo,,,
CLoadLevel,C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004d024c;004d025c;004d06ac;004d06c0,,2,level_game_controllers,10,todo,,,placeable:LOAD init:FUN_00457b10
CLocalGameObject,CGameObject -> OMediaClassStreamer,004d07ac,,12,base_framework,1,spec,codex,Medium,adds TaskName/Debug and local database resources
CMainMenu,CJimmyGame -> CGameType -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004d0bfc;004d0c0c;004d105c;004d1070,,1,level_game_controllers,10,todo,,,
CMenuElement,OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> MagicHatTarget -> CGameObject,004d11ec;004d11fc;004d161c;004d1630;004d1640,,2,level_game_controllers,10,todo,,,
CPickupType,C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004d1724;004d1734;004d1b84;004d1b98,,3,base_framework,1,spec,codex,Medium,pickup trigger base; registers PickupIndex/PIC_NUMBER/RequiredLevel/ExactLevel and checks global pickup state
CTaskList,CLocalGameObject -> CGameObject -> OMediaClassStreamer,004d1c7c,,2,effects_triggers_nav_cameras_sound,8,todo,,,
